ID,DeviceName,Location
1239129,TNFRT,Falls Rd Toilet
1243153,TNTT,Te Toro Rec Reserve Toilets
1244121,TNKCT,Kawakawa Bay Central Toilet
1248139,TNMHT,Moumoukai Hill Toilet
1249146,TNKGBT,Grahams Beach Reserve Toilet/Shower
1250131,TWHKB2,Waiheke Backpackers (Raw)
DAM01,DAM01,Tawharanui Dam
ELGW001,ELGW001,Paparimu Hall
ELGW002,ELGW002,Albert St Sky Lab
ELGW003,ELGW003,Falls Road Ranger Station
ELGW004,ELGW004,Waiheke TKOW
ELGWKawakawa,ELGWKawakawa,Kawakawa Bay
FallsRoad,FallsRoad,Ark In The Park
KT01,SA03-1,Whatipu
KT02,SA09,Whatipu
KT03,Koi01,KoiIsland
LAQ01,Lib_L2a,Test Humidity
LAQ02,Lib_L2b,TestLab
LAQ03,Lib_L2c,TestLab
LAQ04,Lib_L2d,TestLab
Liv01,Node01,Opua
Liv02,Node02,Opua
Liv03,TKOW01,Waiheke
Liv04,TKOW02,Waiheke
Liv05,TKOW03,Waiheke
Liv06,TKOW04,Waiheke
Liv07,TKOW05,Waiheke
Liv08,TKOW06,Waiheke
Liv09,TKOW07,Waiheke
Liv10,TKOW08,Waiheke
Liv11,TKOW09,Waiheke
Liv12,TKOW10,Waiheke
Liv13,TKOW11,Waiheke
Liv14,TKOW12,Waiheke
Liv15,TKOW13,Waiheke
Liv16,TKOW14,Waiheke
Liv17,TKOW15,Waiheke
Liv18,TKOW16,Waiheke
Liv19,TKOW17,Waiheke
Liv20,TKOW18,Waiheke
Liv21,TKOW19,Waiheke
Liv22,TKOW20,Waiheke
Liv23,TKOW21,Waiheke
Liv24,TKOW22,Waiheke
Liv25,TKOW23,Waiheke
Liv26,TKOW24,Waiheke
Liv27,TKOW25,Waiheke
Liv28,TKOW26,Waiheke
Liv29,TKOW27,Waiheke
Liv30,Trap06,Tawharanui
Liv31,Trap07,Tawharanui
Liv32,Trap05,Tawharanui
Liv33,TKOW28,Waiheke
LivXXX,DemoTrap,Test Park
LKC001,LKC001,Kiwi Coast TeTii
LKC002,LKC002,Kiwi Coast TeTii
LT01,Trap01,Tawharanui
LT02,Trap02,Tawharanui
LT04,Trap04,Tawharanui
LT05,Trap15,Tawharanui
LT07,Trap18,Tawharanui
LT08,Trap08,Tawharanui
LT09,Trap03,Tawharanui
LT10,Trap10,Tawharanui
LT11,Trap22,Tawharanui
LT13,Trap26,Tawharanui
LT14,SHK10,Shakespear
LT15,TrapS26,Shakespear
LT19,TrapS25,Shakespear
LT20,TrapS27,Shakespear
LT24,Trap24,Tawharanui
LT26,Trap34,Tawharanui
LT27,Trap13,Tawharanui
LT28,Trap32,Tawharanui
LT29,Trap29,Tawharanui
LT30,Trap30,Tawharanui
LT31,Trap27,Tawharanui
LT32,Trap28,Tawharanui
LT33,Trap31,Tawharanui
LT34,Trap33,Tawharanui
LT35,Trap21,Tawharanui
LT36,Trap35,Tawharanui
LT37,Trap09,Tawharanui
LT38,Trap20,Tawharanui
LT39,Trap23,Tawharanui
LT41,Trap25,Tawharanui
LT42,Trap12,Tawharanui
LT43,TrapS24,Shakespear
LT44,CT01,Whatipu
LT45,CT02,Whatipu
LT46,CT03,Whatipu
LT47,CT04,Whatipu
LT48,CT05,Whatipu
LT49,CT06,Whatipu
LT50,CT07,Whatipu
LT51,CT08,Whatipu
LT52,CT09,Whatipu
LT53,CT10,Whatipu
LT54,CT11,Whatipu
LT55,CT12,Whatipu
LT56,SOAK1,Mancave
LT57,SOAK2,Mancave
LT58,CT15,Whatipu
LT59,CT14,Whatipu
LT60,WestEndGate,Tawharanui
LT61,BruceHarveyGate,Shakespear
LT62,WaterfallGullyGate,Shakespear
LT63,OkoromaiBayGate,Shakespear
LT64,CT13,Whatipu
LTAC1,Trap40,Domain
LTE01,TrapS05,Shakespear
LTE02,TrapS06,Shakespear
